project name,project url,category,commits
javascript-arithmetic-lab-bootcamp-prep-000,https://github.com/bambella4316/javascript-arithmetic-lab-bootcamp-prep-000,"[1, 2, 3, 6]",6
takeown,https://github.com/leobcn/takeown,"[1, 3]",6
vegeta,https://github.com/itsky365/vegeta,[3],121
fullPage.js,https://github.com/monkeymoney/fullPage.js,"[1, 3, 5, 6, 8]",383
ionic-cli,https://github.com/dxas90/ionic-cli,"[1, 3]",86
api,https://github.com/XiliangSong/api,"[1, 3, 6]",8
aws-codedeploy-agent,https://github.com/ccloes/aws-codedeploy-agent,"[1, 3]",5
raet,https://github.com/jacknjzhou/raet,"[1, 2, 3]",17
echo,https://github.com/npouvesle/echo,"[1, 3, 5]",112
modular-html-css-js-workshop,https://github.com/shayhowe/modular-html-css-js-workshop,[3],11
novel-mode,https://github.com/TLINDEN/novel-mode,"[1, 3, 4, 5]",4
ipython-notebooks,https://github.com/rossgritz/ipython-notebooks,"[1, 3, 6]",43
angular-phonecat,https://github.com/tdeborge/angular-phonecat,[5],24
first-lab-ruby-learn-cli-ile-intro-to-learn,https://github.com/AlexandraRezk02/first-lab-ruby-learn-cli-ile-intro-to-learn,"[1, 3]",17
formBuilder,https://github.com/jaredkirkley/formBuilder,"[1, 4, 5]",40
DXXcodeConsoleUnicodePlugin,https://github.com/HugoDou/DXXcodeConsoleUnicodePlugin,[],5
ocanvas,https://github.com/panshuiqing/ocanvas,"[1, 2, 3, 6]",6
afinal,https://github.com/witernie/afinal,[],33
you-get,https://github.com/hobmgcode/you-get,"[1, 2, 3]",116
ML-From-Scratch,https://github.com/openube/ML-From-Scratch,[1],17
DefinitelyTyped,https://github.com/paarthenon/DefinitelyTyped,[3],363
insight2,https://github.com/mraimi/insight2,[],15
